Lat,Lon,Pixval
48.677907760444,-89.81145012104,-379
48.677907760444,-89.811199875702,-10782
48.677907760444,-89.810949630363,-19741
48.677907760444,-89.810699385024,0
48.677907760444,-89.810449139686,112
48.677907760444,-89.810198894347,12
48.677907760444,-89.809948649009,-16520
48.677907760444,-89.80969840367,-28708
48.677907760444,-89.809448158332,-12547
48.677657056218,-89.826965332031,
48.677657056218,-89.826715086693,-263
48.677657056218,-89.826464841354,-29590
48.677657056218,-89.826214596016,-6565
48.677657056218,-89.825964350677,-6628
48.677657056218,-89.825714105338,-1852
48.677657056218,-89.82546386,-19287
48.677657056218,-89.825213614661,26746
48.677657056218,-89.824963369323,16863
48.677657056218,-89.824713123984,-23683
48.677657056218,-89.824462878646,-1817
48.677657056218,-89.824212633307,-25610
48.677657056218,-89.823962387968,8784
48.677657056218,-89.82371214263,9728
48.677657056218,-89.823461897291,14810
48.677657056218,-89.823211651953,2048
48.677657056218,-89.822961406614,25578
48.677657056218,-89.822711161276,8961
48.677657056218,-89.822460915937,28808
48.677657056218,-89.822210670598,-14962
48.677657056218,-89.82196042526,1070
48.677657056218,-89.821710179921,640
48.677657056218,-89.821459934583,7319
48.677657056218,-89.821209689244,5690
48.677657056218,-89.820959443906,26728
48.677657056218,-89.820709198567,-23719
48.677657056218,-89.820458953228,-6241
48.677657056218,-89.82020870789,25015
48.677657056218,-89.819958462551,-30387
48.677657056218,-89.819708217213,31162
48.677657056218,-89.819457971874,20751
48.677657056218,-89.819207726536,13713
48.677657056218,-89.818957481197,-22449
48.677657056218,-89.818707235859,-26129
48.677657056218,-89.81845699052,1232
48.677657056218,-89.818206745181,9984
48.677657056218,-89.817956499843,-8199
48.677657056218,-89.817706254504,12087
48.677657056218,-89.817456009166,8618
48.677657056218,-89.817205763827,24219
48.677657056218,-89.816955518489,14061
48.677657056218,-89.81670527315,21710
48.677657056218,-89.816455027811,1235
48.677657056218,-89.816204782473,96
48.677657056218,-89.815954537134,-9444
48.677657056218,-89.815704291796,-28956
48.677657056218,-89.815454046457,-22407
48.677657056218,-89.815203801119,-5607
48.677657056218,-89.81495355578,9784
48.677657056218,-89.814703310441,-12977
48.677657056218,-89.814453065103,20643
48.677657056218,-89.814202819764,-26204
48.677657056218,-89.813952574426,-1107
48.677657056218,-89.813702329087,7431
48.677657056218,-89.813452083749,-4697
48.677657056218,-89.81320183841,22822
48.677657056218,-89.812951593071,-5502
48.677657056218,-89.812701347733,29275
48.677657056218,-89.812451102394,10747
48.677657056218,-89.812200857056,-30126
48.677657056218,-89.811950611717,21968
48.677657056218,-89.811700366379,-11604
48.677657056218,-89.81145012104,20830
48.677657056218,-89.811199875702,3456
48.677657056218,-89.810949630363,-30454
48.677657056218,-89.810699385024,1537
48.677657056218,-89.810449139686,21112
48.677657056218,-89.810198894347,14063
48.677657056218,-89.809948649009,-29335
48.677657056218,-89.80969840367,1330
48.677657056218,-89.809448158332,7663
48.677406351993,-89.826965332031,
48.677406351993,-89.826715086693,9728
48.677406351993,-89.826464841354,-22662
48.677406351993,-89.826214596016,-26395
48.677406351993,-89.825964350677,-21393
48.677406351993,-89.825714105338,26046
48.677406351993,-89.82546386,-31515
48.677406351993,-89.825213614661,-5503
48.677406351993,-89.824963369323,30740
48.677406351993,-89.824713123984,1702
48.677406351993,-89.824462878646,29332
48.677406351993,-89.824212633307,26893
48.677406351993,-89.823962387968,-3100
48.677406351993,-89.82371214263,-7589
48.677406351993,-89.823461897291,-18924
48.677406351993,-89.823211651953,-25479
48.677406351993,-89.822961406614,-19054
48.677406351993,-89.822711161276,-11922
48.677406351993,-89.822460915937,1696
48.677406351993,-89.822210670598,-24561
48.677406351993,-89.82196042526,3590
48.677406351993,-89.821710179921,3111
48.677406351993,-89.821459934583,25088
48.677406351993,-89.821209689244,4823
48.677406351993,-89.820959443906,-23898
48.677406351993,-89.820709198567,10461
48.677406351993,-89.820458953228,20123
48.677406351993,-89.82020870789,14708
48.677406351993,-89.819958462551,2861
48.677406351993,-89.819708217213,19748
48.677406351993,-89.819457971874,31845
48.677406351993,-89.819207726536,17766
48.677406351993,-89.818957481197,4485
48.677406351993,-89.818707235859,-16659
48.677406351993,-89.81845699052,-6847
48.677406351993,-89.818206745181,23245
48.677406351993,-89.817956499843,11907
48.677406351993,-89.817706254504,13433
48.677406351993,-89.817456009166,160
48.677406351993,-89.817205763827,32554
48.677406351993,-89.816955518489,26375
48.677406351993,-89.81670527315,19116
48.677406351993,-89.816455027811,-14622
48.677406351993,-89.816204782473,16985
48.677406351993,-89.815954537134,-26893
48.677406351993,-89.815704291796,-18348
48.677406351993,-89.815454046457,20503
48.677406351993,-89.815203801119,28281
48.677406351993,-89.81495355578,2194
48.677406351993,-89.814703310441,-31710
48.677406351993,-89.814453065103,20152
48.677406351993,-89.814202819764,-18335
48.677406351993,-89.813952574426,-28850
48.677406351993,-89.813702329087,4054
48.677406351993,-89.813452083749,-13173
48.677406351993,-89.81320183841,-22127
48.677406351993,-89.812951593071,2564
48.677406351993,-89.812701347733,-13800
48.677406351993,-89.812451102394,-16373
48.677406351993,-89.812200857056,-1020
48.677406351993,-89.811950611717,-6456
48.677406351993,-89.811700366379,17956
48.677406351993,-89.81145012104,6273
48.677406351993,-89.811199875702,2217
48.677406351993,-89.810949630363,24948
48.677406351993,-89.810699385024,160
48.677406351993,-89.810449139686,-22463
48.677406351993,-89.810198894347,10641
48.677406351993,-89.809948649009,6160
48.677406351993,-89.80969840367,1120
48.677406351993,-89.809448158332,-32768
48.677155647768,-89.826965332031,
48.677155647768,-89.826715086693,160
48.677155647768,-89.826464841354,-32764
48.677155647768,-89.826214596016,26887
48.677155647768,-89.825964350677,28926
48.677155647768,-89.825714105338,-6625
48.677155647768,-89.82546386,-287
48.677155647768,-89.825213614661,-24724
48.677155647768,-89.824963369323,-14362
48.677155647768,-89.824713123984,32556
48.677155647768,-89.824462878646,26524
48.677155647768,-89.824212633307,-15111
48.677155647768,-89.823962387968,-24701
48.677155647768,-89.82371214263,493
48.677155647768,-89.823461897291,118
48.677155647768,-89.823211651953,-12024
48.677155647768,-89.822961406614,-861
48.677155647768,-89.822711161276,-32000
48.677155647768,-89.822460915937,2496
48.677155647768,-89.822210670598,142
48.677155647768,-89.82196042526,-32741
48.677155647768,-89.821710179921,-30464
48.677155647768,-89.821459934583,12074
48.677155647768,-89.821209689244,4256
48.677155647768,-89.820959443906,460
48.677155647768,-89.820709198567,-32760
48.677155647768,-89.820458953228,18960
48.677155647768,-89.82020870789,12289
48.677155647768,-89.819958462551,-18560
48.677155647768,-89.819708217213,370
48.677155647768,-89.819457971874,-32753
48.677155647768,-89.819207726536,-22511
